tag,sampleID,species,treatment,species_treatment,lesion,days,status
131,Of_Fr1_DW-24,Of,DW24,Of_DW24,13.89930556,13.89930556,1
136,Of_Fr2_DW-24,Of,DW24,Of_DW24,13.89930556,13.89930556,1
141,Of_Fr3_DW-24,Of,DW24,Of_DW24,13.89930556,13.89930556,1
145,Of_Fy1_DW-24,Of,DW24,Of_DW24,,27.71875,0
149,Of_Fy2_DW-24,Of,DW24,Of_DW24,,27.71875,0
289,Of_E4_DW-24,Of,DW24,Of_DW24,20.81597222,20.81597222,1
231,Of_R4_DW-24,Of,DW24,Of_DW24,19.81597222,19.81597222,1
239,Of_R5_DW-24,Of,DW24,Of_DW24,,27.71875,0
313,Of_M2_DW-24,Of,DW24,Of_DW24,20.81597222,20.81597222,1
328,Of_M4_DW-24,Of,DW24,Of_DW24,25.89930556,25.89930556,1
132,Of_Fr1_DW-120,Of,DW120,Of_DW120,13.93402778,13.93402778,1
137,Of_Fr2_DW-120,Of,DW120,Of_DW120,20.85069444,20.85069444,1
142,Of_Fr3_DW-120,Of,DW120,Of_DW120,13.93402778,13.93402778,1
146,Of_Fy1_DW-120,Of,DW120,Of_DW120,22.93402778,22.93402778,1
150,Of_Fy2_DW-120,Of,DW120,Of_DW120,20.93402778,20.93402778,1
297,Of_E4_DW-120,Of,DW120,Of_DW120,22.93402778,22.93402778,1
235,Of_R4_DW-120,Of,DW120,Of_DW120,20.85069444,20.85069444,1
244,Of_R5_DW-120,Of,DW120,Of_DW120,25.93402778,25.93402778,1
316,Of_M2_DW-120,Of,DW120,Of_DW120,13.93402778,13.93402778,1
329,Of_M4_DW-120,Of,DW120,Of_DW120,13.92013889,13.92013889,1
130,Of_Fr1_DC,Of,DC,Of_DC,2.881944444,2.881944444,1
135,Of_Fr2_DC,Of,DC,Of_DC,13.88194444,13.88194444,1
140,Of_Fr3_DC,Of,DC,Of_DC,2.881944444,2.881944444,1
144,Of_Fy1_DC,Of,DC,Of_DC,,27.71875,0
148,Of_Fy2_DC,Of,DC,Of_DC,13.88194444,13.88194444,1
285,Of_E4_DC,Of,DC,Of_DC,2.881944444,2.881944444,1
228,Of_R4_DC,Of,DC,Of_DC,15.88194444,15.88194444,1
238,Of_R5_DC,Of,DC,Of_DC,4.881944444,4.881944444,1
312,Of_M2_DC,Of,DC,Of_DC,9.881944444,9.881944444,1
324,Of_M4_DC,Of,DC,Of_DC,4.881944444,4.881944444,1
129,Of_Fr1_HW-120,Of,HW120,Of_HW120,,27.71875,0
134,Of_Fr2_HW-120,Of,HW120,Of_HW120,,27.71875,0
139,Of_Fr3_HW-120,Of,HW120,Of_HW120,20.90625,20.90625,1
143,Of_Fy1_HW-120,Of,HW120,Of_HW120,,27.71875,0
147,Of_Fy2_HW-120,Of,HW120,Of_HW120,,27.71875,0
284,Of_E4_HW-120,Of,HW120,Of_HW120,,27.71875,0
226,Of_R4_HW-120,Of,HW120,Of_HW120,,27.71875,0
237,Of_R5_HW-120,Of,HW120,Of_HW120,,27.71875,0
311,Of_M2_HW-120,Of,HW120,Of_HW120,,27.71875,0
323,Of_M4_HW-120,Of,HW120,Of_HW120,,27.71875,0
371,Ps_Fo1_DW-24,Ps,DW24,Ps_DW24,,27.71875,0
398,Ps_Fo2_DW-24,Ps,DW24,Ps_DW24,,27.71875,0
415,Ps_Fo3_DW-24,Ps,DW24,Ps_DW24,,27.71875,0
88,Ps_Fb1_DW-24,Ps,DW24,Ps_DW24,,27.71875,0
A175,Ps_E5_DW-24,Ps,DW24,Ps_DW24,,27.71875,0
A127,Ps_R2_DW-24,Ps,DW24,Ps_DW24,,27.71875,0
A133,Ps_R4_DW-24,Ps,DW24,Ps_DW24,,27.71875,0
379,Ps_Fo1_DW-120,Ps,DW120,Ps_DW120,12.92013889,12.92013889,1
399,Ps_Fo2_DW-120,Ps,DW120,Ps_DW120,13.92013889,13.92013889,1
419,Ps_Fo3_DW-120,Ps,DW120,Ps_DW120,13.92013889,13.92013889,1
91,Ps_Fb1_DW-120,Ps,DW120,Ps_DW120,13.92013889,13.92013889,1
A179,Ps_E5_DW-120,Ps,DW120,Ps_DW120,13.92013889,13.92013889,1
A128,Ps_R2_DW-120,Ps,DW120,Ps_DW120,,27.71875,0
A134,Ps_R4_DW-120,Ps,DW120,Ps_DW120,,27.71875,0
370,Ps_Fo1_DC,Ps,DC,Ps_DC,14.88194444,14.88194444,1
387,Ps_Fo2_DC,Ps,DC,Ps_DC,,27.71875,0
409,Ps_Fo3_DC,Ps,DC,Ps_DC,14.88194444,14.88194444,1
84,Ps_Fb1_DC,Ps,DC,Ps_DC,14.88194444,14.88194444,1
A174,Ps_E5_DC,Ps,DC,Ps_DC,13.88194444,13.88194444,1
A125,Ps_R2_DC,Ps,DC,Ps_DC,22.88194444,22.88194444,1
A132,Ps_R4_DC,Ps,DC,Ps_DC,,27.71875,0
367,Ps_Fo1_HW-120,Ps,HW120,Ps_HW120,,27.71875,0
381,Ps_Fo2_HW-120,Ps,HW120,Ps_HW120,,27.71875,0
406,Ps_Fo3_HW-120,Ps,HW120,Ps_HW120,,27.71875,0
76,Ps_Fb1_HW-120,Ps,HW120,Ps_HW120,,27.71875,0
A173,Ps_E5_HW-120,Ps,HW120,Ps_HW120,,27.71875,0
A123,Ps_R2_HW-120,Ps,HW120,Ps_HW120,,27.71875,0
A131,Ps_R4_HW-120,Ps,HW120,Ps_HW120,,27.71875,0