tag,sampleID,species,treatment,species_treatment,lesion,dose,days,status
262,Of_E1_DW,Of,DW,Of_DW,,12067.488,41.901,0
211,Of_R1_DW,Of,DW,Of_DW,41.839,12049.6,41.839,1
40,Of_Fr_DW,Of,DW,Of_DW,41.839,12049.6,41.839,1
306,Of_E5_DW,Of,DW,Of_DW,13.985,4027.6,13.985,1
272,Of_E2_DW,Of,DW,Of_DW,13.985,4027.6,13.985,1
225,Of_R3_DW,Of,DW,Of_DW,,12067.488,41.901,0
218,Of_R2_DW,Of,DW,Of_DW,,12067.488,41.901,0
322,Of_M3_DW,Of,DW,Of_DW,,12067.488,41.901,0
A090,Of_M1_DW,Of,DW,Of_DW,13.985,4027.6,13.985,1
277,Of_E3_DW,Of,DW,Of_DW,6.985,2011.6,6.985,1
301,Of_E5_UV,Of,UV,Of_UV,,12067.488,41.901,0
261,Of_E1_UV,Of,UV,Of_UV,,12067.488,41.901,0
224,Of_R3_UV,Of,UV,Of_UV,,12067.488,41.901,0
275,Of_E3_UV,Of,UV,Of_UV,17.985,5179.6,17.985,1
321,Of_M3_UV,Of,UV,Of_UV,,12067.488,41.901,0
36,Of_Fr_UV,Of,UV,Of_UV,34.985,10075.6,34.985,1
A089,Of_M1_UV,Of,UV,Of_UV,,12067.488,41.901,0
269,Of_E2_UV,Of,UV,Of_UV,41.839,12049.6,41.839,1
217,Of_R2_UV,Of,UV,Of_UV,,12067.488,41.901,0
209,Of_R1_UV,Of,UV,Of_UV,,12067.488,41.901,0
274,Of_E3_DC,Of,DC,Of_DC,3.985,1147.6,3.985,1
207,Of_R1_DC,Of,DC,Of_DC,2.985,859.6,2.985,1
300,Of_E5_DC,Of,DC,Of_DC,3.985,1147.6,3.985,1
254,Of_E1_DC,Of,DC,Of_DC,4.985,1435.6,4.985,1
266,Of_E2_DC,Of,DC,Of_DC,2.985,859.6,2.985,1
320,Of_M3_DC,Of,DC,Of_DC,4.985,1435.6,4.985,1
215,Of_R2_DC,Of,DC,Of_DC,3.985,1147.6,3.985,1
221,Of_R3_DC,Of,DC,Of_DC,6.985,2011.6,6.985,1
A085,Of_M1_DC,Of,DC,Of_DC,6.985,2011.6,6.985,1
33,Of_Fr_DC,Of,DC,Of_DC,6.026,1735.6,6.026,1
A078,Of_M1_HW,Of,HW,Of_HW,,12067.488,41.901,0
273,Of_E3_HW,Of,HW,Of_HW,,12067.488,41.901,0
298,Of_E5_HW,Of,HW,Of_HW,,12067.488,41.901,0
31,Of_Fr_HW,Of,HW,Of_HW,,12067.488,41.901,0
204,Of_R1_HW,Of,HW,Of_HW,,12067.488,41.901,0
214,Of_R2_HW,Of,HW,Of_HW,35.985,10363.6,35.985,1
247,Of_E1_HW,Of,HW,Of_HW,,12067.488,41.901,0
263,Of_E2_HW,Of,HW,Of_HW,,12067.488,41.901,0
319,Of_M3_HW,Of,HW,Of_HW,,12067.488,41.901,0
220,Of_R3_HW,Of,HW,Of_HW,,12067.488,41.901,0
A155,Ps_E2_DW,Ps,DW,Ps_DW,15.985,4603.6,15.985,1
71,Ps_Fy_DW,Ps,DW,Ps_DW,,12067.488,41.901,0
A043,Ps_M3_DW,Ps,DW,Ps_DW,,12067.488,41.901,0
359,Ps_Fo_DW,Ps,DW,Ps_DW,,12067.488,41.901,0
A122,Ps_R2_DW,Ps,DW,Ps_DW,34.985,10075.6,34.985,1
A013,Ps_M1_DW,Ps,DW,Ps_DW,,12067.488,41.901,0
A160,Ps_E3_DW,Ps,DW,Ps_DW,7.985,2299.6,7.985,1
A106,Ps_R1_DW,Ps,DW,Ps_DW,17.985,5179.6,17.985,1
A120,Ps_R2_UV,Ps,UV,Ps_UV,,12067.488,41.901,0
356,Ps_Fo_UV,Ps,UV,Ps_UV,,12067.488,41.901,0
A105,Ps_R1_UV,Ps,UV,Ps_UV,13.985,4027.6,13.985,1
70,Ps_Fy_UV,Ps,UV,Ps_UV,,12067.488,41.901,0
A158,Ps_E3_UV,Ps,UV,Ps_UV,,12067.488,41.901,0
A154,Ps_E2_UV,Ps,UV,Ps_UV,,12067.488,41.901,0
A011,Ps_M1_UV,Ps,UV,Ps_UV,34.985,10075.6,34.985,1
A042,Ps_M3_UV,Ps,UV,Ps_UV,,12067.488,41.901,0
A117,Ps_R2_DC,Ps,DC,Ps_DC,16.985,4891.6,16.985,1
A104,Ps_R1_DC,Ps,DC,Ps_DC,4.985,1435.6,4.985,1
A029,Ps_M3_DC,Ps,DC,Ps_DC,3.985,1147.6,3.985,1
A006,Ps_M1_DC,Ps,DC,Ps_DC,13.985,4027.6,13.985,1
A156,Ps_E3_DC,Ps,DC,Ps_DC,17.985,5179.6,17.985,1
353,Ps_Fo_DC,Ps,DC,Ps_DC,24.985,7195.6,24.985,1
65,Ps_Fy_DC,Ps,DC,Ps_DC,,12067.488,41.901,0
A152,Ps_E2_DC,Ps,DC,Ps_DC,34.985,10075.6,34.985,1
A100,Ps_R1_HW,Ps,HW,Ps_HW,,12067.488,41.901,0
64,Ps_Fy_HW,Ps,HW,Ps_HW,,12067.488,41.901,0
A004,Ps_M1_HW,Ps,HW,Ps_HW,,12067.488,41.901,0
349,Ps_Fo_HW,Ps,HW,Ps_HW,,12067.488,41.901,0
A146,Ps_E3_HW,Ps,HW,Ps_HW,,12067.488,41.901,0
A116,Ps_R2_HW,Ps,HW,Ps_HW,,12067.488,41.901,0
A149,Ps_E2_HW,Ps,HW,Ps_HW,,12067.488,41.901,0
A028,Ps_M3_HW,Ps,HW,Ps_HW,,12067.488,41.901,0