id,time,treatment,subsample,replicate,Fm,Fo,Fv
PAM-01,t0,DW24,1,A,177,85,519
PAM-02,t0,DW24,1,B,165,72,563
PAM-03,t0,DW24,1,C,161,65,596
PAM-04,t0,DW24,1,D,158,64,594
PAM-05,t0,DW24,1,E,162,65,598
PAM-06,t0,DW24,2,A,207,76,632
PAM-07,t0,DW24,2,B,205,79,614
PAM-08,t0,DW24,2,C,200,75,625
PAM-09,t0,DW24,2,D,200,75,625
PAM-10,t0,DW24,2,E,192,77,598
PAM-11,t0,DW24,3,A,237,84,645
PAM-12,t0,DW24,3,B,240,89,629
PAM-13,t0,DW24,3,C,244,90,631
PAM-14,t0,DW24,3,D,242,91,623
PAM-15,t0,DW24,3,E,224,85,620
PAM-16,t0,DW120,1,A,31,20,354
PAM-17,t0,DW120,1,B,42,24,428
PAM-18,t0,DW120,1,C,44,28,363
PAM-19,t0,DW120,1,D,36,23,361
PAM-20,t0,DW120,1,E,40,27,325
PAM-21,t0,DW120,2,A,47,30,361
PAM-22,t0,DW120,2,B,46,28,391
PAM-23,t0,DW120,2,C,39,26,333
PAM-24,t0,DW120,2,D,41,24,414
PAM-25,t0,DW120,2,E,39,23,410
PAM-26,t0,DW120,3,A,56,34,392
PAM-27,t0,DW120,3,B,45,26,422
PAM-28,t0,DW120,3,C,37,21,432
PAM-29,t0,DW120,3,D,31,20,354
PAM-30,t0,DW120,3,E,29,18,379
PAM-31,t0,HW120,1,A,51,34,333
PAM-32,t0,HW120,1,B,60,47,216
PAM-33,t0,HW120,1,C,38,30,210
PAM-34,t0,HW120,1,D,57,35,385
PAM-35,t0,HW120,1,E,57,33,421
PAM-36,t0,HW120,2,A,45,29,355
PAM-37,t0,HW120,2,B,37,28,243
PAM-38,t0,HW120,2,C,37,26,297
PAM-39,t0,HW120,2,D,35,25,285
PAM-40,t0,HW120,2,E,37,24,351
PAM-41,t0,HW120,3,A,47,29,382
PAM-42,t0,HW120,3,B,53,32,396
PAM-43,t0,HW120,3,C,43,28,348
PAM-44,t0,HW120,3,D,62,36,419
PAM-45,t0,HW120,3,E,51,32,372
PAM-46,t1,DW24,1,A,95,54,431
PAM-47,t1,DW24,1,B,95,48,494
PAM-48,t1,DW24,1,C,91,52,428
PAM-49,t1,DW24,1,D,94,50,468
PAM-50,t1,DW24,1,E,94,55,414
PAM-51,t1,DW24,2,A,65,45,307
PAM-52,t1,DW24,2,B,67,43,358
PAM-53,t1,DW24,2,C,69,45,347
PAM-54,t1,DW24,2,D,59,40,322
PAM-55,t1,DW24,2,E,62,38,387
PAM-56,t1,DW24,3,A,90,50,444
PAM-57,t1,DW24,3,B,77,44,428
PAM-58,t1,DW24,3,C,71,39,450
PAM-59,t1,DW24,3,D,72,41,430
PAM-60,t1,DW24,3,E,64,40,375
PAM-61,t1,DW120,1,A,95,54,431
PAM-62,t1,DW120,1,B,95,48,494
PAM-63,t1,DW120,1,C,91,52,428
PAM-64,t1,DW120,1,D,94,50,468
PAM-65,t1,DW120,1,E,94,55,414
PAM-66,t1,DW120,2,A,65,45,307
PAM-67,t1,DW120,2,B,67,43,358
PAM-68,t1,DW120,2,C,69,45,347
PAM-69,t1,DW120,2,D,59,40,322
PAM-70,t1,DW120,2,E,62,38,387
PAM-71,t1,DW120,3,A,90,50,444
PAM-72,t1,DW120,3,B,77,44,428
PAM-73,t1,DW120,3,C,71,39,450
PAM-74,t1,DW120,3,D,72,41,430
PAM-75,t1,DW120,3,E,64,40,375
PAM-76,t1,HW120,1,A,33,29,121
PAM-77,t1,HW120,1,B,38,34,105
PAM-78,t1,HW120,1,C,35,33,57
PAM-79,t1,HW120,1,D,35,32,85
PAM-80,t1,HW120,1,E,36,35,27
PAM-81,t1,HW120,2,A,48,65,0
PAM-82,t1,HW120,2,B,37,33,108
PAM-83,t1,HW120,2,C,38,34,105
PAM-84,t1,HW120,2,D,40,35,125
PAM-85,t1,HW120,2,E,41,37,97
PAM-86,t1,HW120,3,A,48,42,125
PAM-87,t1,HW120,3,B,47,44,63
PAM-88,t1,HW120,3,C,46,39,152
PAM-89,t1,HW120,3,D,47,41,127
PAM-90,t1,HW120,3,E,46,39,152