id,time,treatment,subsample,replicate,Fm,Fo,Fv
PAM-01,t1,DW,1,A,145,117,193
PAM-02,t1,DW,1,B,175,116,337
PAM-03,t1,DW,1,C,118,116,17
PAM-04,t1,DW,1,D,141,123,128
PAM-05,t1,DW,1,E,168,128,238
PAM-06,t1,DW,2,A,176,193,0
PAM-07,t1,DW,2,B,179,125,302
PAM-08,t1,DW,2,C,177,123,305
PAM-09,t1,DW,2,D,206,134,350
PAM-10,t1,DW,2,E,165,132,200
PAM-11,t1,DW,3,A,186,129,306
PAM-12,t1,DW,3,B,198,126,364
PAM-13,t1,DW,3,C,171,126,263
PAM-14,t1,DW,3,D,115,117,0
PAM-15,t1,DW,3,E,120,119,8
PAM-16,t1,UV,1,A,140,111,207
PAM-17,t1,UV,1,B,159,117,264
PAM-18,t1,UV,1,C,151,121,199
PAM-19,t1,UV,1,D,181,119,343
PAM-20,t1,UV,1,E,139,119,144
PAM-21,t1,UV,2,A,155,118,239
PAM-22,t1,UV,2,B,154,118,234
PAM-23,t1,UV,2,C,156,117,250
PAM-24,t1,UV,2,D,165,123,255
PAM-25,t1,UV,2,E,149,127,148
PAM-26,t1,UV,3,A,149,127,148
PAM-27,t1,UV,3,B,156,117,250
PAM-28,t1,UV,3,C,145,119,179
PAM-29,t1,UV,3,D,158,130,177
PAM-30,t1,UV,3,E,160,129,194
PAM-31,t1,HW,1,A,166,93,440
PAM-32,t1,HW,1,B,177,97,452
PAM-33,t1,HW,1,C,165,89,461
PAM-34,t1,HW,1,D,165,85,485
PAM-35,t1,HW,1,E,168,87,482
PAM-36,t1,HW,2,A,146,89,390
PAM-37,t1,HW,2,B,168,91,458
PAM-38,t1,HW,2,C,163,96,411
PAM-39,t1,HW,2,D,163,98,399
PAM-40,t1,HW,2,E,153,93,392
PAM-41,t1,HW,3,A,162,141,130
PAM-42,t1,HW,3,B,155,91,413
PAM-43,t1,HW,3,C,161,92,429
PAM-44,t1,HW,3,D,156,94,397
PAM-45,t1,HW,3,E,150,89,407
PAM-46,t2,DW,1,A,612,230,624
PAM-47,t2,DW,1,B,576,232,597
PAM-48,t2,DW,1,C,572,226,604
PAM-49,t2,DW,1,D,565,221,608
PAM-50,t2,DW,1,E,551,221,598
PAM-51,t2,DW,2,A,538,204,620
PAM-52,t2,DW,2,B,524,214,591
PAM-53,t2,DW,2,C,520,207,601
PAM-54,t2,DW,2,D,509,210,587
PAM-55,t2,DW,2,E,502,211,579
PAM-56,t2,DW,3,A,573,215,624
PAM-57,t2,DW,3,B,568,226,602
PAM-58,t2,DW,3,C,552,226,590
PAM-59,t2,DW,3,D,529,217,589
PAM-60,t2,DW,3,E,504,206,591
PAM-61,t2,UV,1,A,728,318,563
PAM-62,t2,UV,1,B,711,306,569
PAM-63,t2,UV,1,C,702,300,572
PAM-64,t2,UV,1,D,691,296,571
PAM-65,t2,UV,1,E,659,289,561
PAM-66,t2,UV,2,A,729,288,604
PAM-67,t2,UV,2,B,707,309,562
PAM-68,t2,UV,2,C,702,311,556
PAM-69,t2,UV,2,D,685,304,556
PAM-70,t2,UV,2,E,672,291,566
PAM-71,t2,UV,3,A,616,249,595
PAM-72,t2,UV,3,B,639,278,564
PAM-73,t2,UV,3,C,576,249,572
PAM-74,t2,UV,3,D,535,238,555
PAM-75,t2,UV,3,E,484,215,555
PAM-76,t2,HW,1,A,392,156,602
PAM-77,t2,HW,1,B,366,144,606
PAM-78,t2,HW,1,C,357,142,602
PAM-79,t2,HW,1,D,361,142,606
PAM-80,t2,HW,1,E,355,141,602
PAM-81,t2,HW,2,A,383,149,610
PAM-82,t2,HW,2,B,374,150,598
PAM-83,t2,HW,2,C,366,150,590
PAM-84,t2,HW,2,D,356,147,587
PAM-85,t2,HW,2,E,342,144,578
PAM-86,t2,HW,3,A,316,113,642
PAM-87,t2,HW,3,B,314,120,617
PAM-88,t2,HW,3,C,306,121,604
PAM-89,t2,HW,3,D,308,123,598
PAM-90,t2,HW,3,E,308,123,600
PAM-91,t3,DW,1,A,255,108,576
PAM-92,t3,DW,1,B,248,107,568
PAM-93,t3,DW,1,C,241,102,576
PAM-94,t3,DW,1,D,236,97,588
PAM-95,t3,DW,1,E,235,97,587
PAM-96,t3,DW,2,A,273,120,560
PAM-97,t3,DW,2,B,266,123,537
PAM-98,t3,DW,2,C,260,119,542
PAM-99,t3,DW,2,D,257,117,544
PAM-100,t3,DW,2,E,261,123,528
PAM-101,t3,DW,3,A,267,108,595
PAM-102,t3,DW,3,B,266,111,582
PAM-103,t3,DW,3,C,268,111,585
PAM-104,t3,DW,3,D,269,110,591
PAM-105,t3,DW,3,E,271,112,586
PAM-106,t3,UV,1,A,525,322,386
PAM-107,t3,UV,1,B,489,315,355
PAM-108,t3,UV,1,C,464,299,355
PAM-109,t3,UV,1,D,460,293,363
PAM-110,t3,UV,1,E,463,303,345
PAM-111,t3,UV,2,A,556,340,388
PAM-112,t3,UV,2,B,546,334,388
PAM-113,t3,UV,2,C,544,339,376
PAM-114,t3,UV,2,D,540,342,366
PAM-115,t3,UV,2,E,513,326,364
PAM-116,t3,UV,3,A,456,298,346
PAM-117,t3,UV,3,B,454,298,343
PAM-118,t3,UV,3,C,459,295,357
PAM-119,t3,UV,3,D,466,303,349
PAM-120,t3,UV,3,E,470,309,342
PAM-121,t3,HW,1,A,363,132,636
PAM-122,t3,HW,1,B,367,135,632
PAM-123,t3,HW,1,C,361,136,623
PAM-124,t3,HW,1,D,358,137,617
PAM-125,t3,HW,1,E,355,138,611
PAM-126,t3,HW,2,A,408,144,647
PAM-127,t3,HW,2,B,389,138,645
PAM-128,t3,HW,2,C,387,143,630
PAM-129,t3,HW,2,D,390,142,635
PAM-130,t3,HW,2,E,397,146,632
PAM-131,t3,HW,3,A,433,155,642
PAM-132,t3,HW,3,B,430,161,625
PAM-133,t3,HW,3,C,417,163,609
PAM-134,t3,HW,3,D,405,154,619
PAM-135,t3,HW,3,E,376,157,582
PAM-136,t4,DW,1,A,175,72,588
PAM-137,t4,DW,1,B,164,74,548
PAM-138,t4,DW,1,C,156,70,551
PAM-139,t4,DW,1,D,157,70,554
PAM-140,t4,DW,1,E,156,68,564
PAM-141,t4,DW,2,A,264,94,643
PAM-142,t4,DW,2,B,260,101,611
PAM-143,t4,DW,2,C,258,105,593
PAM-144,t4,DW,2,D,247,95,615
PAM-145,t4,DW,2,E,238,95,600
PAM-146,t4,DW,3,A,277,102,631
PAM-147,t4,DW,3,B,266,113,575
PAM-148,t4,DW,3,C,240,103,570
PAM-149,t4,DW,3,D,214,92,570
PAM-150,t4,DW,3,E,181,81,552
PAM-151,t4,UV,1,A,323,154,523
PAM-152,t4,UV,1,B,323,157,513
PAM-153,t4,UV,1,C,309,155,498
PAM-154,t4,UV,1,D,289,149,484
PAM-155,t4,UV,1,E,275,140,490
PAM-156,t4,UV,2,A,259,123,525
PAM-157,t4,UV,2,B,260,132,492
PAM-158,t4,UV,2,C,265,141,467
PAM-159,t4,UV,2,D,269,140,479
PAM-160,t4,UV,2,E,277,142,487
PAM-161,t4,UV,3,A,257,123,521
PAM-162,t4,UV,3,B,261,133,490
PAM-163,t4,UV,3,C,257,129,498
PAM-164,t4,UV,3,D,250,133,468
PAM-165,t4,UV,3,E,251,130,482
PAM-166,t4,HW,1,A,1161,361,689
PAM-167,t4,HW,1,B,1129,410,636
PAM-168,t4,HW,1,C,1131,407,640
PAM-169,t4,HW,1,D,1140,403,646
PAM-170,t4,HW,1,E,1149,405,647
PAM-171,t4,HW,2,A,988,336,659
PAM-172,t4,HW,2,B,974,352,638
PAM-173,t4,HW,2,C,986,352,643
PAM-174,t4,HW,2,D,955,355,628
PAM-175,t4,HW,2,E,947,344,636
PAM-176,t4,HW,3,A,1019,338,668
PAM-177,t4,HW,3,B,1020,373,634
PAM-178,t4,HW,3,C,1002,375,625
PAM-179,t4,HW,3,D,979,358,634
PAM-180,t4,HW,3,E,981,362,630